epci,Difficultés.MP,Freq
200071876,Délais de réponse trop courts,0.03
200071876,Erreurs; incohérences ou non-respect du cahier des charges,0.05
200071876,Lourdeur administrative,0.2
200071876,Manque de dialogue et coordination,0.03
200071876,Mémoire technique trop lourd,0.1
200071876,Pas assez d'appel d'offre,0.02
200071876,Planning de réalisation des travaux trop long ou éloigné,0.02
200071876,Prix trop bas,0.28
200071876,Trop de concurrence,0.12
244900015,Autre,0.0131578947368421
244900015,Délais de réalisation des travaux trop court,0.0526315789473684
244900015,Délais de règlement trop longs,0.0657894736842105
244900015,Délais de réponse trop courts,0.0657894736842105
244900015,Erreurs; incohérences ou non-respect du cahier des charges,0.0657894736842105
244900015,Lourdeur administrative,0.157894736842105
244900015,Manque de dialogue et coordination,0.0394736842105263
244900015,Mémoire technique trop lourd,0.118421052631579
244900015,Pas assez d'appel d'offre,0.0263157894736842
244900015,Planning de réalisation des travaux trop long ou éloigné,0.0131578947368421
244900015,Prix trop bas,0.223684210526316
244900015,Trop de concurrence,0.157894736842105
200071678,Délais de réalisation des travaux trop court,0.0317460317460317
200071678,Délais de règlement trop longs,0.0714285714285714
200071678,Délais de réponse trop courts,0.0158730158730159
200071678,Erreurs; incohérences ou non-respect du cahier des charges,0.0555555555555556
200071678,Lourdeur administrative,0.214285714285714
200071678,Manque de dialogue et coordination,0.0158730158730159
200071678,Mémoire technique trop lourd,0.103174603174603
200071678,Pas assez d'appel d'offre,0.0555555555555556
200071678,Planning de réalisation des travaux trop long ou éloigné,0.00793650793650794
200071678,Prix trop bas,0.301587301587302
200071678,Trop de concurrence,0.126984126984127
244900809,Délais de réalisation des travaux trop court,0.0116279069767442
244900809,Délais de règlement trop longs,0.0465116279069767
244900809,Délais de réponse trop courts,0.0930232558139535
244900809,Erreurs; incohérences ou non-respect du cahier des charges,0.104651162790698
244900809,Lourdeur administrative,0.244186046511628
244900809,Mémoire technique trop lourd,0.104651162790698
244900809,Pas assez d'appel d'offre,0.0232558139534884
244900809,Prix trop bas,0.313953488372093
244900809,Trop de concurrence,0.0581395348837209
244400552,Délais de réalisation des travaux trop court,0.0222222222222222
244400552,Délais de règlement trop longs,0.0888888888888889
244400552,Délais de réponse trop courts,0.0666666666666667
244400552,Erreurs; incohérences ou non-respect du cahier des charges,0.0444444444444444
244400552,Lourdeur administrative,0.266666666666667
244400552,Mémoire technique trop lourd,0.177777777777778
244400552,Pas assez d'appel d'offre,0.0222222222222222
244400552,Prix trop bas,0.111111111111111
244400552,Trop de concurrence,0.2
200072726,Délais de réalisation des travaux trop court,0.05
200072726,Délais de règlement trop longs,0.0666666666666667
200072726,Délais de réponse trop courts,0.0333333333333333
200072726,Erreurs; incohérences ou non-respect du cahier des charges,0.0666666666666667
200072726,Lourdeur administrative,0.2
200072726,Manque de dialogue et coordination,0.0666666666666667
200072726,Mémoire technique trop lourd,0.116666666666667
200072726,Pas assez d'appel d'offre,0.0166666666666667
200072726,Prix trop bas,0.216666666666667
200072726,Trop de concurrence,0.166666666666667
244400404,Autre,0.0101010101010101
244400404,Délais de réalisation des travaux trop court,0.0202020202020202
244400404,Délais de règlement trop longs,0.141414141414141
244400404,Délais de réponse trop courts,0.0101010101010101
244400404,Erreurs; incohérences ou non-respect du cahier des charges,0.0808080808080808
244400404,Lourdeur administrative,0.151515151515152
244400404,Manque de dialogue et coordination,0.0606060606060606
244400404,Mémoire technique trop lourd,0.131313131313131
244400404,Pas assez d'appel d'offre,0.0404040404040404
244400404,Planning de réalisation des travaux trop long ou éloigné,0.0202020202020202
244400404,Prix trop bas,0.262626262626263
244400404,Trop de concurrence,0.0707070707070707
244400644,Délais de réalisation des travaux trop court,0.0172413793103448
244400644,Délais de règlement trop longs,0.0689655172413793
244400644,Délais de réponse trop courts,0.0689655172413793
244400644,Erreurs; incohérences ou non-respect du cahier des charges,0.137931034482759
244400644,Lourdeur administrative,0.189655172413793
244400644,Manque de dialogue et coordination,0.0172413793103448
244400644,Mémoire technique trop lourd,0.0517241379310345
244400644,Prix trop bas,0.293103448275862
244400644,Trop de concurrence,0.155172413793103
243500741,Délais de réalisation des travaux trop court,0.04
243500741,Délais de règlement trop longs,0.04
243500741,Délais de réponse trop courts,0.04
243500741,Lourdeur administrative,0.12
243500741,Pas assez d'appel d'offre,0.12
243500741,Prix trop bas,0.32
243500741,Trop de concurrence,0.32
200000438,Délais de règlement trop longs,0.181818181818182
200000438,Délais de réponse trop courts,0.0909090909090909
200000438,Erreurs; incohérences ou non-respect du cahier des charges,0.0454545454545455
200000438,Lourdeur administrative,0.318181818181818
200000438,Mémoire technique trop lourd,0.0909090909090909
200000438,Prix trop bas,0.227272727272727
200000438,Trop de concurrence,0.0454545454545455
200067866,Délais de réalisation des travaux trop court,0.0952380952380952
200067866,Délais de règlement trop longs,0.142857142857143
200067866,Délais de réponse trop courts,0.0476190476190476
200067866,Lourdeur administrative,0.19047619047619
200067866,Mémoire technique trop lourd,0.0952380952380952
200067866,Planning de réalisation des travaux trop long ou éloigné,0.0476190476190476
200067866,Prix trop bas,0.19047619047619
200067866,Trop de concurrence,0.19047619047619
200067346,Autre,0.0188679245283019
200067346,Délais de réalisation des travaux trop court,0.0188679245283019
200067346,Délais de règlement trop longs,0.132075471698113
200067346,Délais de réponse trop courts,0.0377358490566038
200067346,Erreurs; incohérences ou non-respect du cahier des charges,0.0188679245283019
200067346,Lourdeur administrative,0.283018867924528
200067346,Mémoire technique trop lourd,0.0943396226415094
200067346,Pas assez d'appel d'offre,0.0377358490566038
200067346,Prix trop bas,0.283018867924528
200067346,Trop de concurrence,0.0754716981132075
244400503,Autre,0.0181818181818182
244400503,Délais de réalisation des travaux trop court,0.0363636363636364
244400503,Délais de règlement trop longs,0.145454545454545
244400503,Délais de réponse trop courts,0.127272727272727
244400503,Erreurs; incohérences ou non-respect du cahier des charges,0.0545454545454545
244400503,Lourdeur administrative,0.236363636363636
244400503,Manque de dialogue et coordination,0.0181818181818182
244400503,Mémoire technique trop lourd,0.0909090909090909
244400503,Planning de réalisation des travaux trop long ou éloigné,0.0181818181818182
244400503,Prix trop bas,0.236363636363636
244400503,Trop de concurrence,0.0181818181818182
244400610,Délais de règlement trop longs,0.125
244400610,Délais de réponse trop courts,0.125
244400610,Erreurs; incohérences ou non-respect du cahier des charges,0.125
244400610,Lourdeur administrative,0.3125
244400610,Mémoire technique trop lourd,0.125
244400610,Planning de réalisation des travaux trop long ou éloigné,0.0625
244400610,Prix trop bas,0.0625
244400610,Trop de concurrence,0.0625
244400586,Délais de réalisation des travaux trop court,0.0333333333333333
244400586,Délais de règlement trop longs,0.166666666666667
244400586,Délais de réponse trop courts,0.1
244400586,Erreurs; incohérences ou non-respect du cahier des charges,0.0333333333333333
244400586,Lourdeur administrative,0.233333333333333
244400586,Manque de dialogue et coordination,0.0333333333333333
244400586,Mémoire technique trop lourd,0.166666666666667
244400586,Pas assez d'appel d'offre,0.0666666666666667
244400586,Planning de réalisation des travaux trop long ou éloigné,0.0333333333333333
244400586,Prix trop bas,0.133333333333333
200072734,Délais de réalisation des travaux trop court,0.0666666666666667
200072734,Délais de réponse trop courts,0.166666666666667
200072734,Erreurs; incohérences ou non-respect du cahier des charges,0.0666666666666667
200072734,Lourdeur administrative,0.166666666666667
200072734,Mémoire technique trop lourd,0.2
200072734,Prix trop bas,0.266666666666667
200072734,Trop de concurrence,0.0666666666666667
245300223,Délais de réalisation des travaux trop court,0.0701754385964912
245300223,Délais de règlement trop longs,0.0526315789473684
245300223,Délais de réponse trop courts,0.0701754385964912
245300223,Erreurs; incohérences ou non-respect du cahier des charges,0.0526315789473684
245300223,Lourdeur administrative,0.210526315789474
245300223,Manque de dialogue et coordination,0.0175438596491228
245300223,Mémoire technique trop lourd,0.087719298245614
245300223,Pas assez d'appel d'offre,0.0350877192982456
245300223,Prix trop bas,0.245614035087719
245300223,Trop de concurrence,0.157894736842105
245300330,Délais de réalisation des travaux trop court,0.0461538461538462
245300330,Délais de règlement trop longs,0.0615384615384615
245300330,Erreurs; incohérences ou non-respect du cahier des charges,0.0307692307692308
245300330,Lourdeur administrative,0.215384615384615
245300330,Manque de dialogue et coordination,0.0307692307692308
245300330,Mémoire technique trop lourd,0.138461538461538
245300330,Pas assez d'appel d'offre,0.0615384615384615
245300330,Planning de réalisation des travaux trop long ou éloigné,0.0307692307692308
245300330,Prix trop bas,0.276923076923077
245300330,Trop de concurrence,0.107692307692308
200055887,Délais de réalisation des travaux trop court,0.0263157894736842
200055887,Délais de règlement trop longs,0.0657894736842105
200055887,Délais de réponse trop courts,0.0526315789473684
200055887,Erreurs; incohérences ou non-respect du cahier des charges,0.0394736842105263
200055887,Lourdeur administrative,0.184210526315789
200055887,Manque de dialogue et coordination,0.0131578947368421
200055887,Mémoire technique trop lourd,0.131578947368421
200055887,Pas assez d'appel d'offre,0.0526315789473684
200055887,Prix trop bas,0.289473684210526
200055887,Trop de concurrence,0.144736842105263
245300389,Délais de réalisation des travaux trop court,0.094017094017094
245300389,Délais de règlement trop longs,0.0598290598290598
245300389,Délais de réponse trop courts,0.0854700854700855
245300389,Erreurs; incohérences ou non-respect du cahier des charges,0.0512820512820513
245300389,Lourdeur administrative,0.170940170940171
245300389,Manque de dialogue et coordination,0.00854700854700855
245300389,Mémoire technique trop lourd,0.0854700854700855
245300389,Pas assez d'appel d'offre,0.0341880341880342
245300389,Planning de réalisation des travaux trop long ou éloigné,0.0170940170940171
245300389,Prix trop bas,0.188034188034188
245300389,Trop de concurrence,0.205128205128205
247200686,Délais de réalisation des travaux trop court,0.137931034482759
247200686,Délais de règlement trop longs,0.114942528735632
247200686,Délais de réponse trop courts,0.0689655172413793
247200686,Erreurs; incohérences ou non-respect du cahier des charges,0.0574712643678161
247200686,Lourdeur administrative,0.114942528735632
247200686,Mémoire technique trop lourd,0.149425287356322
247200686,Pas assez d'appel d'offre,0.0229885057471264
247200686,Prix trop bas,0.241379310344828
247200686,Trop de concurrence,0.0919540229885057
247200629,Délais de réalisation des travaux trop court,0.0454545454545455
247200629,Délais de règlement trop longs,0.121212121212121
247200629,Délais de réponse trop courts,0.0151515151515152
247200629,Erreurs; incohérences ou non-respect du cahier des charges,0.106060606060606
247200629,Lourdeur administrative,0.227272727272727
247200629,Mémoire technique trop lourd,0.136363636363636
247200629,Pas assez d'appel d'offre,0.0151515151515152
247200629,Planning de réalisation des travaux trop long ou éloigné,0.0303030303030303
247200629,Prix trop bas,0.212121212121212
247200629,Trop de concurrence,0.0909090909090909
247200447,Délais de réalisation des travaux trop court,0.05
247200447,Délais de règlement trop longs,0.15
247200447,Erreurs; incohérences ou non-respect du cahier des charges,0.05
247200447,Lourdeur administrative,0.1
247200447,Mémoire technique trop lourd,0.05
247200447,Pas assez d'appel d'offre,0.05
247200447,Planning de réalisation des travaux trop long ou éloigné,0.05
247200447,Prix trop bas,0.3
247200447,Trop de concurrence,0.2
200072718,Délais de réalisation des travaux trop court,0.025
200072718,Délais de règlement trop longs,0.1
200072718,Délais de réponse trop courts,0.025
200072718,Lourdeur administrative,0.275
200072718,Manque de dialogue et coordination,0.025
200072718,Mémoire technique trop lourd,0.15
200072718,Prix trop bas,0.275
200072718,Trop de concurrence,0.125
200072676,Délais de règlement trop longs,0.0714285714285714
200072676,Délais de réponse trop courts,0.0714285714285714
200072676,Lourdeur administrative,0.285714285714286
200072676,Mémoire technique trop lourd,0.0714285714285714
200072676,Pas assez d'appel d'offre,0.0714285714285714
200072676,Prix trop bas,0.285714285714286
200072676,Trop de concurrence,0.142857142857143
